sellable_item_group_id,product_line_id,row_count,live_read_count,stale_payload_count,seed_active_count,seed_active_expectation_count,identity_active_count,sig_mixed_active_expectation,canonical_selection_gap,canonical_content_ref,fresh_best_content_ref,sync_candidate_count,sample_titles
sig_dd132423fa070a128d637ab5,pl_d7413c9baa7cc942abce7975,1,1,0,0,1,0,false,false,external_seed:ext_4e155bb184ec35f3cd7827e3,external_seed:ext_4e155bb184ec35f3cd7827e3,0,Banana Bright+ Firm and Glow Moisturizer with Vitamin C and Niacinamide
sig_ce40a92e068cfacd482cfb28,pl_d165bff64f4faee82eaf2513,1,1,0,1,1,1,false,false,external_seed:ext_a3cd0190cc691515a1f2e87c,external_seed:ext_a3cd0190cc691515a1f2e87c,0,Glow2OH Exfoliating Dark Spot Toner with Glycolic & Lactic Acid
sig_321dbf4dec06e85f71be9b36,pl_3c0accdad4d1125793420fbf,1,1,0,1,1,1,false,false,external_seed:ext_35b321dde624f955996315cb,external_seed:ext_35b321dde624f955996315cb,0,Detox Drops 2% Salicylic Acid Toner
sig_04d85d3527be3ca040cb2590,pl_25167432a9c8340ee798a871,1,1,0,1,1,1,false,false,external_seed:ext_4729e70c78478cb6a57aa177,external_seed:ext_4729e70c78478cb6a57aa177,0,Après Skin Rich Rescue Barrier Moisturizer with Ceramides
sig_ddf950df9a912beaf5387e99,pl_9dd1b7b0186f8a1a92f74ced,1,1,0,1,1,1,false,false,external_seed:ext_7036139f48c84539ff819d8d,external_seed:ext_7036139f48c84539ff819d8d,0,Peach Glaze Glow Niacinamide Serum with Vitamin C
sig_76826014cd6144a5a8110e95,pl_52b399acbd36e7100c013122,1,1,0,1,1,1,false,false,external_seed:ext_9efbe1905612219910596142,external_seed:ext_9efbe1905612219910596142,0,Strength Trainer Peptide Boost Moisturizer
sig_a75fc11819aeb8912f7e2f64,pl_2da00f7be676a4ba02ad5ed7,1,1,0,0,1,0,false,false,external_seed:ext_ad5458530604d2c7bfe2fbf2,external_seed:ext_ad5458530604d2c7bfe2fbf2,0,Dewtopia 25% Acid Flash Facial Mask
sig_654db3eb15313f864eeee78a,pl_db9ebbfce49ef03a7bc71c3d,1,1,0,0,1,0,false,false,external_seed:ext_99c2d94131f26d563e2093bc,external_seed:ext_99c2d94131f26d563e2093bc,0,Dewtopia 20% Acid Night Treatment
sig_1041bd840cee6110a29d249e,pl_afec42b86bb644a905aa7525,1,1,0,1,1,1,false,false,external_seed:ext_68539ff7ebafec665991f495,external_seed:ext_68539ff7ebafec665991f495,0,Hydrabarrier Nourishing Face Oil
sig_f35c696b3867f4b7fa139f3a,pl_e4ccd93d3d7f3de1c2a61c45,1,1,0,0,1,0,false,false,external_seed:ext_5f1eaf3898146877fe9171b3,external_seed:ext_5f1eaf3898146877fe9171b3,0,Truth Serum
