domain,brand,external_product_id,title,product_kind,recommended_lane,catalog_attached,index_serving_eligible,identity_ready,product_intel_high_quality,price_amount,price_currency,availability,description_len,has_image,has_full_inci,has_how_to,hard_risk,source_gap,quality_flags,canonical_url
786cosmetics.com,786 Cosmetics,ext_09f3ad39bdfe1ea4a957c45f,Alexandria - Breathable Nail Polish,beauty_formula,product_intel_review,true,true,true,false,13.99,USD,in_stock,231,true,true,true,false,false,,https://786cosmetics.com/products/alexandria-breathable-nail-polish
786cosmetics.com,786 Cosmetics,ext_cd1678cacc37126a9d483888,Bursa - Breathable Nail Polish,beauty_formula,product_intel_review,true,true,true,false,13.99,USD,in_stock,226,true,true,true,false,false,,https://786cosmetics.com/products/bursa-breathable-nail-polish
786cosmetics.com,786 Cosmetics,ext_478c309275606a587d949541,Cusco - Breathable Nail Polish,beauty_formula,product_intel_review,true,true,true,false,13.99,USD,in_stock,429,true,true,true,false,false,,https://786cosmetics.com/products/cusco-breathable-nail-polish
786cosmetics.com,786 Cosmetics,ext_152e5d39e5ef4ee3a67894b7,Guanajuato - Breathable Nail Polish,beauty_formula,product_intel_review,true,true,true,false,13.99,USD,in_stock,506,true,true,true,false,false,,https://786cosmetics.com/products/guanajuato-breathable-nail-polish
786cosmetics.com,786 Cosmetics,ext_09bd1a60af24d620706724ee,Hyderabad - Breathable Nail Polish,beauty_formula,product_intel_review,true,true,true,false,13.99,USD,in_stock,274,true,true,true,false,false,,https://786cosmetics.com/products/hyderabad-breathable-nail-polish
786cosmetics.com,786 Cosmetics,ext_f37bb5bc53c4764bc5de8e9c,Isfahan - Breathable Nail Polish,beauty_formula,product_intel_review,true,true,true,false,13.99,USD,in_stock,333,true,true,true,false,false,,https://786cosmetics.com/products/isfahan-breathable-nail-polish
786cosmetics.com,786 Cosmetics,ext_96324332335f327e15bbd1a3,Istanbul - Breathable Nail Polish,beauty_formula,product_intel_review,true,true,true,false,13.99,USD,in_stock,325,true,true,true,false,false,,https://786cosmetics.com/products/istanbul-breathable-nail-polish
786cosmetics.com,786 Cosmetics,ext_c6ce33a7e9e59a7c8c24fc36,Kyoto - Breathable Nail Polish,beauty_formula,product_intel_review,true,true,true,false,13.99,USD,in_stock,342,true,true,true,false,false,,https://786cosmetics.com/products/kyoto
786cosmetics.com,786 Cosmetics,ext_a5d2bdb05f2216a85764454f,Lisbon - Breathable Nail Polish,beauty_formula,product_intel_review,true,true,true,false,13.99,USD,out_of_stock,507,true,true,true,false,false,,https://786cosmetics.com/products/lisbon-breathable-nail-polish
786cosmetics.com,786 Cosmetics,ext_afb163014d0bffd3a6493c05,Marrakesh - Breathable Nail Polish,beauty_formula,product_intel_review,true,true,true,false,13.99,USD,in_stock,321,true,true,true,false,false,,https://786cosmetics.com/products/marrakesh
786cosmetics.com,786 Cosmetics,ext_45293e532ad5a5f33438d38f,Nizwa - Breathable Nail Polish,beauty_formula,product_intel_review,true,true,true,false,13.99,USD,in_stock,399,true,true,true,false,false,,https://786cosmetics.com/products/nizwa-breathable-nail-polish
786cosmetics.com,786 Cosmetics,ext_9a469b8f450d59f67ae21f6d,Paris - Breathable Nail Polish,beauty_formula,product_intel_review,true,true,true,false,13.99,USD,in_stock,321,true,true,true,false,false,,https://786cosmetics.com/products/paris
786cosmetics.com,786 Cosmetics,ext_1a3dc4611dcd01447437ed9c,Rotomahana - Breathable Nail Polish,beauty_formula,product_intel_review,true,true,true,false,13.99,USD,out_of_stock,532,true,true,true,false,false,,https://786cosmetics.com/products/rotomahana-breathable-nail-polish
786cosmetics.com,786 Cosmetics,ext_799b3d12caaa6ad1842840dd,Sakura - Breathable Nail Polish,beauty_formula,product_intel_review,true,true,true,false,13.99,USD,out_of_stock,558,true,true,true,false,false,,https://786cosmetics.com/products/sakura-breathable-nail-polish
786cosmetics.com,786 Cosmetics,ext_2d506dd9dc7428de2d3d0cc8,Seville - Breathable Nail Polish,beauty_formula,product_intel_review,true,true,true,false,9.79,USD,in_stock,412,true,true,true,false,false,,https://786cosmetics.com/products/seville-breathable-nail-polish
786cosmetics.com,786 Cosmetics,ext_7bac80d00f1f149743824dee,Top Coat Clear - Breathable Nail Polish,beauty_formula,product_intel_review,true,true,true,false,13.99,USD,in_stock,164,true,true,true,false,false,,https://786cosmetics.com/products/top-coat-clear-breathable-nail-polish
