run_id,photo_hash,market,lang,mode,mode_requested,request_id,trace_id,used_photos,analysis_source,quality_grade,has_photo_modules_card,regions_count,regions_bbox_count,regions_polygon_count,regions_heatmap_count,modules_count,issues_top,actions_count,products_count,evidence_grade_distribution,citations_count_distribution,claims_template_fallback_count,claims_violation_detected,claims_audit_known,product_suppression_reasons,status_code,request_ok,error_kind,error_detail,stage,fallback_note,duration_ms,upload_status_code,confirm_status_code,sanitize_applied,original_width,original_height,processed_width,processed_height,processed_bytes
internal_batch_20260210_073214360,634f1c621c27c62de4946536408875284b5c4608f693f972899552b03cd032ad,EU,en,confirm,confirm,9bbc2dbd-5cb3-41a6-84a2-7bab7bf5aa7e,9ed38fc8-380d-40ca-bcd0-b3b5012e6e30,true,vision_gemini,degraded,true,8,4,0,4,7,"[{""module_id"":""nose"",""issue_type"":""texture"",""severity_0_4"":1.116,""confidence_0_1"":0.033},{""module_id"":""chin"",""issue_type"":""texture"",""severity_0_4"":1.111,""confidence_0_1"":0.033},{""module_id"":""left_cheek"",""issue_type"":""texture"",""severity_0_4"":1.069,""confidence_0_1"":0.033},{""module_id"":""right_cheek"",""issue_type"":""texture"",""severity_0_4"":0.879,""confidence_0_1"":0.033},{""module_id"":""under_eye_right"",""issue_type"":""tone"",""severity_0_4"":0.655,""confidence_0_1"":0.142},{""module_id"":""under_eye_left"",""issue_type"":""tone"",""severity_0_4"":0.654,""confidence_0_1"":0.142},{""module_id"":""nose"",""issue_type"":""tone"",""severity_0_4"":0.585,""confidence_0_1"":0.142},{""module_id"":""right_cheek"",""issue_type"":""tone"",""severity_0_4"":0.53,""confidence_0_1"":0.142}]",66,0,"{""C"":66}","{""0"":66}",66,false,true,[],200,true,,http_200,analysis,,5989,200,200,true,1353,1714,1353,1714,309930
internal_batch_20260210_073214360,09c83cd129a62868d762bd00e4dac3dd7c0e8c9879d2cf111dcc9bc98ab3dca0,EU,en,confirm,confirm,05551550-f728-47c6-ba25-55ae5d83f432,cc01cfab-25a5-490d-9bc9-49a11ccdebfe,true,vision_gemini,degraded,true,8,4,0,4,7,"[{""module_id"":""chin"",""issue_type"":""texture"",""severity_0_4"":1.169,""confidence_0_1"":0.026},{""module_id"":""nose"",""issue_type"":""texture"",""severity_0_4"":1.147,""confidence_0_1"":0.026},{""module_id"":""left_cheek"",""issue_type"":""texture"",""severity_0_4"":1.124,""confidence_0_1"":0.026},{""module_id"":""right_cheek"",""issue_type"":""texture"",""severity_0_4"":1.112,""confidence_0_1"":0.026},{""module_id"":""under_eye_left"",""issue_type"":""texture"",""severity_0_4"":0.852,""confidence_0_1"":0.026},{""module_id"":""under_eye_right"",""issue_type"":""texture"",""severity_0_4"":0.852,""confidence_0_1"":0.026},{""module_id"":""under_eye_left"",""issue_type"":""tone"",""severity_0_4"":0.681,""confidence_0_1"":0.139},{""module_id"":""under_eye_right"",""issue_type"":""tone"",""severity_0_4"":0.681,""confidence_0_1"":0.139}]",66,0,"{""C"":66}","{""0"":66}",66,false,true,[],200,true,,http_200,analysis,,8345,200,200,true,1440,1920,1440,1920,426163
internal_batch_20260210_073214360,f85899298601171f4bc9a6cdc5ae81450146e3cd49ac0117408c721e3328bf2d,EU,en,confirm,confirm,ee3e20e8-9de6-4ac6-9220-0b6b5636484a,66731f67-018f-4a43-b403-0c2cae40440e,true,vision_gemini,pass,true,8,4,0,4,7,"[{""module_id"":""chin"",""issue_type"":""texture"",""severity_0_4"":2.858,""confidence_0_1"":0.437},{""module_id"":""chin"",""issue_type"":""tone"",""severity_0_4"":1.18,""confidence_0_1"":0.192},{""module_id"":""left_cheek"",""issue_type"":""tone"",""severity_0_4"":0.492,""confidence_0_1"":0.192},{""module_id"":""right_cheek"",""issue_type"":""tone"",""severity_0_4"":0.492,""confidence_0_1"":0.192},{""module_id"":""nose"",""issue_type"":""tone"",""severity_0_4"":0.492,""confidence_0_1"":0.192},{""module_id"":""left_cheek"",""issue_type"":""texture"",""severity_0_4"":0.308,""confidence_0_1"":0.437},{""module_id"":""right_cheek"",""issue_type"":""texture"",""severity_0_4"":0.308,""confidence_0_1"":0.437},{""module_id"":""nose"",""issue_type"":""texture"",""severity_0_4"":0.308,""confidence_0_1"":0.437}]",30,0,"{""C"":30}","{""0"":30}",30,false,true,[],200,true,,http_200,analysis,,5522,200,200,true,1440,1920,1440,1920,571173
internal_batch_20260210_073214360,47345a996382a8ec863d14085aea93cdb29e48f08480a9a6db37f4d8ff38dc26,EU,en,confirm,confirm,ce2cab1a-38c9-429b-ae7b-8132c58120bb,dafb1732-9789-4244-b60b-7a301a31a3de,true,vision_gemini,degraded,true,8,4,0,4,7,"[{""module_id"":""right_cheek"",""issue_type"":""texture"",""severity_0_4"":1.818,""confidence_0_1"":0.021},{""module_id"":""nose"",""issue_type"":""texture"",""severity_0_4"":1.765,""confidence_0_1"":0.021},{""module_id"":""left_cheek"",""issue_type"":""texture"",""severity_0_4"":1.604,""confidence_0_1"":0.021},{""module_id"":""under_eye_right"",""issue_type"":""texture"",""severity_0_4"":1.291,""confidence_0_1"":0.021},{""module_id"":""chin"",""issue_type"":""texture"",""severity_0_4"":1.193,""confidence_0_1"":0.021},{""module_id"":""under_eye_left"",""issue_type"":""texture"",""severity_0_4"":0.944,""confidence_0_1"":0.021},{""module_id"":""under_eye_left"",""issue_type"":""tone"",""severity_0_4"":0.671,""confidence_0_1"":0.122},{""module_id"":""under_eye_right"",""issue_type"":""tone"",""severity_0_4"":0.671,""confidence_0_1"":0.122}]",72,0,"{""C"":72}","{""0"":72}",72,false,true,[],200,true,,http_200,analysis,,4994,200,200,true,1440,1920,1440,1920,370794
internal_batch_20260210_073214360,fb372de37ff68acdbd9368341a354788915d9c873ffd5285168c4451879d9d7a,EU,en,confirm,confirm,88c53e2f-cc1b-4f24-8a8d-a3b6b5468d63,ad455f7a-6cea-494f-9a1b-fd36ad7f7fe3,true,vision_gemini,degraded,true,8,4,0,4,7,"[{""module_id"":""nose"",""issue_type"":""texture"",""severity_0_4"":1.98,""confidence_0_1"":0.069},{""module_id"":""right_cheek"",""issue_type"":""texture"",""severity_0_4"":1.917,""confidence_0_1"":0.069},{""module_id"":""under_eye_right"",""issue_type"":""texture"",""severity_0_4"":1.762,""confidence_0_1"":0.069},{""module_id"":""left_cheek"",""issue_type"":""texture"",""severity_0_4"":1.546,""confidence_0_1"":0.069},{""module_id"":""under_eye_left"",""issue_type"":""texture"",""severity_0_4"":1.475,""confidence_0_1"":0.069},{""module_id"":""forehead"",""issue_type"":""texture"",""severity_0_4"":0.78,""confidence_0_1"":0.069},{""module_id"":""under_eye_left"",""issue_type"":""tone"",""severity_0_4"":0.593,""confidence_0_1"":0.139},{""module_id"":""under_eye_right"",""issue_type"":""tone"",""severity_0_4"":0.578,""confidence_0_1"":0.139}]",66,0,"{""C"":66}","{""0"":66}",66,false,true,[],200,true,,http_200,analysis,,6300,200,200,true,1396,2500,1144,2048,467803
internal_batch_20260210_073214360,d3dda0bef8b00ee30558d68672f8095a1e447c7013706862c85350ff9904d5c6,EU,en,confirm,confirm,41177dfa-419e-46d9-ab0a-28c413d0476a,0ef005d3-60a9-48de-aff7-ac7215fd0b73,true,vision_gemini,degraded,true,8,4,0,4,7,"[{""module_id"":""nose"",""issue_type"":""texture"",""severity_0_4"":1.747,""confidence_0_1"":0.027},{""module_id"":""left_cheek"",""issue_type"":""texture"",""severity_0_4"":1.663,""confidence_0_1"":0.027},{""module_id"":""right_cheek"",""issue_type"":""texture"",""severity_0_4"":1.418,""confidence_0_1"":0.027},{""module_id"":""under_eye_left"",""issue_type"":""texture"",""severity_0_4"":0.756,""confidence_0_1"":0.027},{""module_id"":""chin"",""issue_type"":""texture"",""severity_0_4"":0.74,""confidence_0_1"":0.027},{""module_id"":""under_eye_right"",""issue_type"":""texture"",""severity_0_4"":0.696,""confidence_0_1"":0.027},{""module_id"":""under_eye_right"",""issue_type"":""tone"",""severity_0_4"":0.595,""confidence_0_1"":0.139},{""module_id"":""under_eye_left"",""issue_type"":""tone"",""severity_0_4"":0.554,""confidence_0_1"":0.139}]",66,0,"{""C"":66}","{""0"":66}",66,false,true,[],200,true,,http_200,analysis,,4876,200,200,true,1440,1920,1440,1920,368028
internal_batch_20260210_073214360,6792a46598a6002dd8d2fb7d5f29297ac6b54236789855858e4ac487dd2d642a,EU,en,confirm,confirm,0a8b2b03-e8f6-450c-953e-31f046fff1e6,95bd3adb-afce-49d7-bc7e-4f7d69e33b13,true,vision_gemini,degraded,true,8,4,0,4,7,"[{""module_id"":""right_cheek"",""issue_type"":""texture"",""severity_0_4"":2.966,""confidence_0_1"":0.039},{""module_id"":""nose"",""issue_type"":""texture"",""severity_0_4"":2.959,""confidence_0_1"":0.039},{""module_id"":""chin"",""issue_type"":""texture"",""severity_0_4"":2.957,""confidence_0_1"":0.039},{""module_id"":""left_cheek"",""issue_type"":""texture"",""severity_0_4"":2.542,""confidence_0_1"":0.039},{""module_id"":""under_eye_right"",""issue_type"":""texture"",""severity_0_4"":1.952,""confidence_0_1"":0.039},{""module_id"":""under_eye_left"",""issue_type"":""texture"",""severity_0_4"":1.356,""confidence_0_1"":0.039},{""module_id"":""under_eye_left"",""issue_type"":""tone"",""severity_0_4"":0.748,""confidence_0_1"":0.139},{""module_id"":""under_eye_right"",""issue_type"":""tone"",""severity_0_4"":0.644,""confidence_0_1"":0.139}]",69,0,"{""C"":69}","{""0"":69}",69,false,true,[],200,true,,http_200,analysis,,6015,200,200,true,1271,1739,1271,1739,539699
internal_batch_20260210_073214360,b0d24fbfcb953d68b05db9232f411356c4b21df3b28f3f8ca2bdd4449d38b338,EU,en,confirm,confirm,7d399a94-ec13-4ea3-a225-54aa8dcbf77d,45274d2c-8eac-45e2-aa7c-178baf82bf7a,true,vision_gemini,degraded,true,8,4,0,4,7,"[{""module_id"":""under_eye_left"",""issue_type"":""tone"",""severity_0_4"":0.691,""confidence_0_1"":0.122},{""module_id"":""under_eye_right"",""issue_type"":""tone"",""severity_0_4"":0.691,""confidence_0_1"":0.122},{""module_id"":""nose"",""issue_type"":""tone"",""severity_0_4"":0.636,""confidence_0_1"":0.122},{""module_id"":""chin"",""issue_type"":""tone"",""severity_0_4"":0.553,""confidence_0_1"":0.122},{""module_id"":""left_cheek"",""issue_type"":""tone"",""severity_0_4"":0.528,""confidence_0_1"":0.122},{""module_id"":""right_cheek"",""issue_type"":""tone"",""severity_0_4"":0.528,""confidence_0_1"":0.122},{""module_id"":""forehead"",""issue_type"":""tone"",""severity_0_4"":0.48,""confidence_0_1"":0.122},{""module_id"":""under_eye_left"",""issue_type"":""texture"",""severity_0_4"":0.396,""confidence_0_1"":0.007}]",69,0,"{""C"":69}","{""0"":69}",69,false,true,[],200,true,,http_200,analysis,,5149,200,200,true,1440,2560,1152,2048,342847
internal_batch_20260210_073214360,122ba73d79518638cf80f93c068f3f0d0417a250fdea3e21dfb10fc344cb4377,EU,en,confirm,confirm,12ff9980-84b2-4450-9300-ea0e6292645e,b7dda3a5-3106-4fcc-9046-b6d4bb915ef2,true,vision_gemini,fail,false,0,0,0,0,0,[],0,0,,,unknown,unknown,false,[],200,true,NO_CARD,http_200,analysis,,4914,200,200,true,1440,1920,1440,1920,217639
internal_batch_20260210_073214360,cf582fc883d21b89b09c19c23317f0aba43d3d82a3b26680d02c0d75aad8d616,EU,en,confirm,confirm,71deb665-e5fb-4cf8-9636-f4176197193a,ac03b77b-a8a3-434d-a0f2-481ed6bd07fe,true,vision_gemini,degraded,true,8,4,0,4,7,"[{""module_id"":""nose"",""issue_type"":""texture"",""severity_0_4"":1.019,""confidence_0_1"":0.05},{""module_id"":""left_cheek"",""issue_type"":""texture"",""severity_0_4"":1.004,""confidence_0_1"":0.05},{""module_id"":""right_cheek"",""issue_type"":""texture"",""severity_0_4"":1.004,""confidence_0_1"":0.05},{""module_id"":""chin"",""issue_type"":""texture"",""severity_0_4"":0.756,""confidence_0_1"":0.05},{""module_id"":""under_eye_left"",""issue_type"":""tone"",""severity_0_4"":0.602,""confidence_0_1"":0.139},{""module_id"":""under_eye_right"",""issue_type"":""tone"",""severity_0_4"":0.602,""confidence_0_1"":0.139},{""module_id"":""forehead"",""issue_type"":""tone"",""severity_0_4"":0.534,""confidence_0_1"":0.139},{""module_id"":""nose"",""issue_type"":""tone"",""severity_0_4"":0.519,""confidence_0_1"":0.139}]",63,0,"{""C"":63}","{""0"":63}",63,false,true,[],200,true,,http_200,analysis,,5351,200,200,true,714,1214,714,1214,155572
